,body_review,date_review,id_review,location,possible_rating,rating,source,useful,user
10,"Nice spot in the UTC. Fresh and simple sandwiches, and a good value for a college student like myself.",6/23/2018,QPUoRRQOSa_w8TsmPwoaAg,"Irvine, CA",5.0,4.0,yelp,None,Jay B.
11,"""Triangular sandwiches taste better than square ones.""  --Peter KayThe hubs and I were up and about the area pretty early and needed a bite for breakfast.  We gave Le Diplomat a try over Peet's Coffee.  I'm a fan of La Vie en France bakery products and I noticed their signage indicating that they serve their products.  I decided on a Chicken Cordon Bleu Croissant and the hubs went with a Chicken Dijon sandwich.  My croissant was alright.  The croissant itself was lovely, and had a standard slice of ham, some chunk chicken, and a slice of Swiss cheese melted between them.  The hub's chicken dijon was good, but the sauce was rather salty and too rich. The butter was dripping out of the sandwich with every bite.  Don't get me wrong, we all love butter - but even this would make Paula Deen raise an eyebrow!",12/16/2017,pNURSToVRURKfPJ9JFQb_w,"Irvine, CA",5.0,3.0,yelp,7,Ingrid V.
12,"I've been here many times in the four years that I attended UCI. I went today with some co-workers for the first time since I graduated and it was just as delicious as I remember. I ordered the chicken garlic with bacon, which is my go to sandwich here. Honestly, I've probably been here over 20 times and I don't think I've ever ordered anything else. I know a lot of my friends love the chicken garlic with broccoli as well. Definitely grab a few of the hot sauces on the side to spice up your sandwich. They recently started serving various flavors of Italian sodas which are really good too if you're looking for something refreshing. I know they have a ton of other stuff on their menu, but I've never ventured out and tried any of it.There is minimal seating inside, but plenty of seating outside in the UTC area. The employees are always friendly and the service is on and off in terms of speed. Sometimes it's super quick and sometimes it's a bit of a wait. They also get pretty packed sometimes, so try going outside of peak hours. Overall, I'd definitely give it a try though if you go to school or work in the UCI area.",3/29/2018,XHPnbzPjhrmkOTx1LWJ9ZA,"Irvine, CA",5.0,4.0,yelp,1,Dana L.
13,"I have been coming here for over 10 years and have always been a fan of their sandwiches, especially the chicken garlic! However, in the last year or two they have gotten really stingy with the amount of garlic sauce they put on the sandwiches. The sandwiches come out really, really DRY! Recently I've been asking for extra sauce on the sandwich, which they've been doing. However today I asked for extra sauce and they charged me extra for it. When I got my sandwich, there was hardly any sauce at all! The driest sandwich I've ever eaten here. What happened to the quality of the sandwiches?!",2/14/2018,hdSsOo-JHaubcY2BE0TeJA,"Huntington Beach, CA",5.0,2.0,yelp,6,Carolyn M.
14,"I ALWAYS make a pit stop here whenever I'm in OC. I was first introduce to this little cafe one night when I was visiting my friend at UCI my freshman year of college and it CHANGED MY LIFE! My friend and I would sometimes drive from UCR to UCI just to eat here (and visit my friends too I guess, mostly for the sandwich). *CHICKEN CORDON-BLEU w/extra GARLIC SAUCE! I've tried their other sandwiches, and this one tops it all. PS: Don't forget to get their Sriracha Sauce! Sooo good with their sandwiches.",9/14/2017,O-gr-qEX3PCJGApn0KjVeA,"Rosemead, CA",5.0,5.0,yelp,21,Shelley G.
15,"I've been coming to Le Dip since I was a student at UCI, and it's been delicious for over 10 years. In an area where the restaurants change frequently,  Le Dip is a mainstay that we can count on. It can get busy around lunch time, but your food comes relatively quickly even if they're busy.I have to admit, I always order the same thing, a 9 inch tuna melt with avocado, because it's so good I've never wanted to branch out, but a lot of my friends rave about their chicken sandwiches as well. Their baguettes are always super soft on the inside and crunchy on the outside, and I always grab a tub of sriracha they have on the counter when I pick up my sandwich, and slather it on. You can get a combo for under ten bucks that includes the sandwich, a drink, and a bag of chips.If you're looking for a place to eat lunch at University Town Center (UTC), this is a great choice.",5/16/2018,0uiQxg-DKg_ia-kYtObCuA,"Costa Mesa, CA",5.0,4.0,yelp,1,Megan O.
16,So so disappointed. Hubby and I try to stop by every  time we're in the area since I love this place from my college days. I phoned ahead to pick up 2 chicken eggplant sandwiches. Unfortunately we found out once we got home we got the wrong sandwiches! We were given just the plain chicken garlic sandwich. On top of that the chicken was super dry and the bread was not fresh at all. I was so sad. As much as I love this place this last experience just fell flat all around. What a shame.,5/2/2018,It53fumHppJAEbFuj9WzOQ,"Lakewood, CA",5.0,2.0,yelp,1,Carissa U.
17,"Le Dip: one of UCI and the Irvine community's favorite places!Chicken broccoli mushroom with that famed garlic sauce is a winner. I've also had a couple of their vegetarian options... Any of their sandwich creations on that famed French baguette is DELICIOUS.People drool over their sandwiches. I save it for whenever I want to treat myself.Their drink options and smoothies are a nice addition as well. Chill day by UCI, this place never disappoints. In a plaza where big chain restaurants and starting to take over, it's no wonder our little Le Dip has survived. Their sandwiches are unbeatable.",9/9/2017,k_r5wznKM7ZZhEL4lsyjHg,"Irvine, CA",5.0,4.0,yelp,1,Rachel Ann C.
18,Finally had a chance to come here. I was told the sandwich to get was the chicken mushroom broccoli so that's what I ordered. The sandwich was pretty tasty. It was creamy and served hot. I chose to add the garlic sauce which was pretty tasty as well. Not sure how the other sandwiches hold up to the reviews but I'll definitely come back to try some more.,11/9/2017,aErsBeatF1aNxuCSziySAQ,"Irvine, CA",5.0,4.0,yelp,None,Elijah M.
19,"I don't come here that often, but every time I stop by here, their food never disappoints me! Chicken, Broccoli, Mushroom Sandwich with Garlic Suace all the way",5/22/2018,TB9NMjZ5zCVcybD2g_ibFg,"Irvine, CA",5.0,5.0,yelp,None,Cat L.
