,Reviews
24,"3/20/2018
    

A fairly new business with the potential to shine bright in the peninsula community. Needed to get a haircut asap and stumbled through this berbershop. Came in on short notice but the barber by the name of Brian was nice enough to take me in. I must say one of the best haircut experiences ever. He didnt rush, he took his time and it was cool to get to know him on a personal level and not to mention he cut my hair perfectly just the way I wanted it. He was very attentive and made sure he understood exactly the kind of haircut I wanted, and was then able to deliver exactly that. I am very happy with the results and will definitely come back. Not much of yelper but I feel that this deserved one. Highly recommend specifically Brian for your next cut. Thanks Again!!"
25,"3/19/2018
    

Called in for an appointment. Came in the next day and got a cut from Brian. We talked about the best cut for me to get and he even had examples on his phone of what kind of cut he was recommending. He talked me through what he was doing and how he was cutting. It took about 40 mins overall and my hair came out better than expected. Would highly recommend Brian because he is very enthusiastic and skilled."
26,"1/19/2018
    

I've been to Vik's a couple times now but he earned the 5 stars way back after my first visit.  The first time I came in, I'd been meaning to clean up my look for quite a while, but I'd never gotten my hair cut by a barber prior to that.  Needless to say, for a creature of habit such as myself, it was a nerve-wracking experience, not made any better by the fact that I find my hair very difficult to deal with.  I walked in with nothing but a couple reference pictures and a shrug, fully intending to leave it to fate, but Vik talked me through the whole thing and made sure to specify what I wanted and what he'd be doing.  The cut came out amazingly, and I'd genuinely never felt better about the way my hair looked prior to that.  Walked out a different person and I've been going back ever since.All in all, Vik's a great guy and a great barber.  Cute shop, super easy to talk to, and accommodating in every way.  Real talk: I don't know if it's a common thing but being able to text your barber for an appointment is incredible."
27,"10/30/2017
    

Answered first call late on a Sunday. Got me my desired appointment time the next day. I have extremely difficult hair for the cut I like: skin right taper w/ hard line; but Vik got it right the first time! Perfect cut. Great razor work. Reasonably priced. If i lived in the area this would be my barber.Thanks Vik!"
28,"1/10/2018
    

Viks takes his time with each haircut. He has plenty of tools to give you the perfect fade. Definitely knows what he's doing with each cut as shown by his vast array of tools and products. He does appointments only, but that's so he can take his time with each cut and not have another customer staring him down to hurry up. I've gone a few times already and was seated right away for my appointment. Fair prices for the great work done. HIGHLY RECOMMENDED!"
29,"3/23/2017
    

Vick is a great barber. He makes the process very easy to book appointments with him through text message. He also takes his time to cut your hair. You never feel like he's rushing or disconnected. Talking to him is very pleasant and enhances the whole experience.He is able to do great fades, over combs and other hairstyles. It's a very relaxing barbershop without a crowd of people waiting . You can just sit, relax and have your nice flawless haircut.








Awesome over comb


Awesome over comb"
30,"11/18/2017
    

Been going to Viks a few times now and honestly have been searching for this type of barbershop my whole life. It's just him running the shop with his wife and we always have great conversations. Barber prices are very average ($25+) would definitely recommend to friends and family. Matter fact my uncle comes with his son here. 5 stars !!!"
31,"6/28/2017
    

Vik the Barber is great. Took my 10yr old in there to get a combover / fade. After making an appointment, which was EASY, arrived to the shop and watched him go to work. Professional, great conversation not just with me but my son as well, attention to detail and made sure we were happy with the cut. Also gave some tips on the different pomades to use and how to properly ""train"" my son's hair. Will definitely be coming back to Viks!"
32,"7/4/2017
    

Great spot for a haircut. Vik always leaves you with a precise and clean cut. Viks barbershop has a laid back atmosphere, is clean, and along with his easy personality provides a great experience for a good price. Been going to Vik for a couple months now and don't think I'll be looking for a new barber anytime soon."
33,"7/1/2017
    

Been looking for a good barber since I moved into the area. Luckily I happened across Viks!Very easy to make an appointment by text."
34,"5/4/2017
    








2 check-ins
        


Took my 4 yr. old son to see Vik. Text him for an appointment. He's great! He listens to what you want, takes his time & is very detailed. If you've read the previous reviews they're 100% true & then some. When I inquired about the pomade he uses he told me he sold his last one yesterday. Vik was kind enough to give me the current jar he was using for free. Thank you again Vik! GO SEE HIM.








The pomade that Vik uses.


The pomade that Vik uses."
35,"10/13/2017
    

Been looking for a good barber for a long time. Viks is the place to go. Price is great compared to other barbershops. Definitely recommend!"
36,"3/21/2017
    

He's a good barber he's been cutting my hair and my sons hair for few years now. He's a perfectionist, he doesn't rush therefore makes sure it looks good."
37,"11/30/2017
    

Viks is the best! I have been going to him a few times now and it is very easy to make an appointment with him. He is very knowledgable about what kind of haircut looks good on an individual and he really takes the time to do a great cut. I always come out with a haircut that exceeds my expectations. His shop is also very clean and he is great to converse with! Plus his prices are very reasonable for the Bay Area ($25+)."
38,"1/3/2018
    

Called this barber twice, first time no answer and no voicemail. Second attempt, no answer, went to voicemail and hung up. Voicemail said to text for faster service, so I did. Did not respond back to my text. Funny thing though, it showed me that he has read my text and still couldn't respond! Now, if you were the only barber in a 100-mile radius, I wouldn't even leave a comment. However, you literally have like 2 other barbershops within walking distance. I wanted to get a haircut here because all the 5-Stars, not saying you don't deserve it, but jeez when are these barbers going to develop business skills!"
39,"2/19/2017
    

I love VIK barber he has been cutting my sons hair since day one! My son will not go anywhere else. His patient with kids and does an amazing job.  Great prices."
40,"3/9/2018
    

I have been going here for just over a year now. Have found few shops and people that can not just cut my hair but my two sons. I look for convenience but quality and Fresh Cuts And Omar are that for me! He is able to get me in most the times I need and gives 3 of us quality cuts!"
41,"3/8/2018
    

I made an appointment with Omar.  When I arrived, he was finishing up a client.  When it was my turn, I showed him a picture of the haircut I want.  A conservative haircut, short on the sides but leaving enough length on the top to comb back.  Think Humphrey Bogart, James Cagney, or Brad Pitt in Inglorious Basterds.  I'm a middle aged man and I like looking my age.I asked him, ""Can you do this?  Short on the sides, just a trim off the top"".  He shook his head and said,""yeah, yeah. Trim off the top"".I sat in the chair and started to talk about sports.  I realized that he wasn't talking back because he was texting on his phone while cutting my hair. I kid you not.  He even made a call while cutting my hair.Then I realized that I couldn't see the mirror from where I was seated.When he finally finished and showed me the mirror, he chopped off 5 inches off the top, leaving me with only less than 1 inch of hair.  The back of my head had something called ""a high taper fade"".  I never heard of such a thing and I definitely didn't ask for it.  I just wanted it short, instead I see skin nearly to the top of my skull.I paid and got out of there before I let my anger get the best of me.  I would have complained to the shop manager only I don't think there is one.  It wasn't until I got home and looked in the mirror that I realized that he nearly gave me the same haircut as the client before me.  This only leads me to believe that he can only do one type of haircut.So, I'm going to wear a hat for the next several weeks because I'm stuck with a haircut I hate until it grows out. Now I cannot speak of the other barbers, their reviews look solid.  But a lot has to be said about a shop who keeps this guy around judging from the other Yelp reviews (which I should have read before coming).Nothing is worse than a barber who doesn't listen to his clients."
42,"3/11/2018
    

If you're gonna take appointments, keep them. Delay is ok but cancelling is not cool."
43,"3/9/2018
    

Last second haircut for a wedding Omar saved me did a great job too will be coming back forsure."
44,"11/25/2017
    

Barber: OmarService: FHaircut: FOverall Grade: F       Customer service: Omar has zero phone etiquette. Grunting words like ""huh"" ""uh"" ""coo"" and ""yup"" he's not very welcoming in person either. Didn't acknowledge my presence. He looked right at me when I came in but didn't greet me or say anything. He was late on our set appointment by 15 minutes and when I finally made my way to the barber chair I seen his eyes were blood shot red and it all this made sense. While he was cutting my hair he was pre occupied with his phone. Kept taking breaks to check his phone and text without giving me any notice. Haircut: haircut was not up to par. I've had way better haircuts at other shops. He went way too high with my fade and the shear work is below average. He left the top uneven. I was unhappy with the final product. If I'm dropping $30 plus a tip I want my barber to be engaged, and trying to do a good job not high and smelling like weed, Omar seems to be disengaged with his profession. He is more focused on his phone. I work hard for my money and I feel like maybe he should too. Crazy to think this guy was at his job lol."
45,"8/29/2017
    

Pete is my go to here but all of the  barbers here give excellent cuts. As usual, it's an appointment culture here, very hard to get a walk in. Pete takes care of me almost all of the time. He's efficient and gives a quality cut. Besides giving a good cut he usually keeps a good conversation, which I believe is an underrated component of getting your haircut. If your going to sit in the chair for at least 30 min you should be having a good time while your there!"
46,"1/6/2018
    

5 star for omar of fresh cuts... salute and respect for you bruhdaah!"
47,"9/4/2017
    

Have been going here for over a year and have never been let down by Pete. He is always accommodating, punctual and does a great job. Best barber in town to get a cut from!"
48,"1/4/2017
    

Unless you have an appointment, don't bother coming in. These guys are booked throughout the week. The atmosphere is that of a brotherhood, everyone is super chill. I'd recommend this place to anyone who is looking for a detailed cut, by barbers that care about their profession. Still one of the only 2 shops I would go to in SF. 4 stars because of the of barbers flaked on me even though we made an appointment via text. Ended up getting cut by one of the other barbers."
49,"5/24/2016
    

Neli is an amazing barber! He really takes care of you, is fair, and incredibly honest. I hit him up because my coworker had this amazing, clean fade that Neli did and I was like, ""Hey man, who does your hair? Hook me up."" You will not believe how many people have complimented me on my hair these past two days, it is ridiculous. I've also been called brave which is hilarious. That aside, Neli scheduled me at the end of all his other appointments because he knew going from normal female hair length to shorter than some men's hair was going to be a challenge. Straight off the bat I could tell I was dealing with someone who not only understood customer service, but actually gave a shit about me. He told me about all the research and advice he acquired to make sure I would be happy with my cut. He took his time and my hair looks sick. I don't recommend him to any woman who wants to take the plunge into near baldness (because this was a very long process and cutting female hairstyles is not his forte), but if your hair is already boyish short or you just want to add an undercut/fade definitely go to Neli. He really cares about his craft and about his customers. Honesty and kindness are the only traits I look for when I pay for a service and he treated me with utmost respect from the moment we connected to the moment I stepped out the door. PS: When I told him the haircut that I wanted, he referred me to a friend of his who might be able to get my hair done perfectly. WHO DOES THAT? I've had so many people compete for business that they will chop my hair into a mess before letting someone else do it. But when she declined due to logistical barriers, he agreed to cut my hair and did an amazing job. PRO TIP: So many people tried to walk-in during my haircut. Always make an appointment, these guys are busy. Plan a week in advance so they can fit you in.








Neli did some magic. Surfer arch.


Neli did some magic. Surfer arch.
fwywfcuetxawyvsrwvzervfedyxzufaqzcwv"
50,"10/27/2017
    

I booked an appointment with Omar, showed up at my scheduled time only to say he was overbooked. Waste of time. If you overbook yourself, notify your client before they show up and wait twenty minutes in front of you."
51,"12/11/2016
    

This place was great! Got my haircut done by Omar and he was very knowledgeable. Definitely had a welcoming vibe from him and the shop itself. I literally don't have anything negative to say. It was a great experience! Definitely a happy camper and will be coming back for my next haircut."
52,"6/30/2017
    

Hit up Darwin for a clean cut. I've been to a bunch of barbers and Darwin has bars. $25 for a bald fade."
53,"6/20/2016
    

Neil is the barber that I always go to see over at Fresh Cuts. I met Neli last year when he worked at the Fine Line. I was changing my look from shaggy to trim for my brothers wedding and Neli hit me with one of his righteous tapers that he is known for. My girl always compliments me when I have a new cut from Neli and then I get tons of head rubs! He touches up all the lines with a straight blade so it looks sharp a$$. I really like how professional Neli and the other barbers are over at Fresh Cuts. And the dudes have tons of trophies from Barber competitions to boot. The owner had just won the fastest taper at a big competition.the shop is really clean. The music is always bumping so I would recommend you check them out if your looking for a fresh cut!Also be sure to call and make an appointment for your cut. These barbers are busy most of the day because they have tons of repeat customers."
54,"6/8/2015
    








6 check-ins
        


I'm a creature of habit and the idea of switching deodorant gives me anxiety. Switching barber's is a very difficult decision to make. but it was necessary on this day. I found Josh on what naysayers would call accident. Called the shop and asked for the next barber with time on Saturday. Josh was that man. The shop is very clean and that's worth a star in and of itself.Josh and I had a few conversations about what I wanted and much like the rest of our life, communication is the key to success. He started the fade, stopped once he had one side done to ask some questions and get feedback so we were on the same page. Class act this kid.I was highly impressed with Josh and his work. Very organized, communicates well and end result was a 5 star cut."
55,"8/29/2017
    

I have been going to the location for over an year now. It's a very friendly and family oriented location. Pete has been cutting my son and I. His hair cuts are always on point and he works with my son really well. Gotta give him credit my son squirms like a worm on a hook. Pete has always been very helpful with scheduling. I work construction so the hours are crazy. Pete seems to be able to fit me in always. Even though I can switch appointments multiple times in a week. Highly recommend this spot. If your looking for a reliable and friendly barber, from my personal experience no knock on the other fellas, Pete is your guy"
56,"9/9/2016
    

I'm new to the area and needed a haircut for the past month. Walking in I wasn't sure if I needed an appointment or not but Julian was able to provide service for me. (Highly recommend making an appointment) Julian is a real chill dude who knows what he is doing behind the blades. I was in need of refining a new look and he achieved it with out a doubt. I enjoy the new look and the talk we had."
57,"11/10/2017
            





Updated review



I came in with such high hopes due to the popularity of this shop in the area. I ended up scheduling with Omar and this guy had horrible customer service. He would literally take 3-4 minute breaks to text on his phone and I was just sitting there, looking back occasionally in hopes that he would start again. On top of that, the cut itself look nothing like the picture I showed him. Unfortunately, I was on the only seat where there was no mirror in front of me so I had no idea what it looked like until the very end. I trusted him, but I was very disappointed on how my hair turned out. He also said he only takes cash. So I had to go to the bank and get cash back only to come back to him saying he also doesn't have change. Lastly, he held onto my license when I went to the bank and forgot to exchange it back when I paid him. On top of that, I asked him the next day why he didn't send me a text that he had it. He stated that he didn't have my number, but he only took appointments so he had my number along with my reservation. When I pointed that out, he said he had so many appointments that he didn't know which was mine. This is a very frustrating because he obviously had my ID and could have match it to his appointments. Absolutely terrible. Avoid at all costs."
58,"4/4/2016
    

This place gets five stars because of...1. Neli, who takes his time making sure he gives you the cleanest fade. I followed him when he moved over from Fine Line because he cuts just the way you want it. And he's always talking about his training and barber conventions and stuff, so you know he takes it seriously and wants to make your hair perfect.2. The shop itself. It's big and spacious. It's clean. They got a big tv playing ESPN. Every piece of furniture looks new and kept up and they are comfortable to sit on and lounge if you have to wait a little bit. 3. It's right next to In-N-Out and Krispy Kreme so when you're done getting your fresh cut, you can go chow down on some really good burgers and donuts."
59,"1/4/2017
    

Been getting cut by Sherm for years. Parking is a breeze and every time you go in its like hanging with the boys. All the barbers in here are really friendly. If you're in need of a solid cut schedule an appointment here!"
60,"2/21/2018
    

Had to get a straight razor shave the day before my wedding and a beard trim. Jason hooked it up. I was honestly surprised that I was able to get a same day appointment on a Saturday due to someone canceling their appointment.Jason was very detailed and thorough. During the straight razor shave, I didn't get one cut and I felt great afterwards. All throughout my wedding I kept getting complimented on my beard so this trip was well worth it.I don't go to barbers very often but I might just have to spoil myself more often now. Thanks again for the great experience :)"
61,"11/18/2017
    

I'm generally pretty weary about just anyone cut my hair. I have mixed hair which can become an obstacle for some barbers.Jay gave me one of the best designed and most balanced haircuts I've ever had. He worked quick and efficiently.  I get my haircut once a week, and generally one of the biggest issues for me is the line up, but Jay's got me crisp and even."
62,"11/7/2016
    

I took my 1 year old son to The Cutlery for his very first haircut. John was so good with my son! He made sure to always check in with us about how we wanted my son's hair. He walked us through everything he was doing, which is great for parents experiencing the first-haircut stage! He let my son sit on my lap, which helped in keeping him still. Anytime my son would move or look at what was going on, John was quick to joke/play with him which made him more comfortable.Thanks, John!! Such a good experience. I highly recommend this shop."
63,"6/17/2017
    

I've been getting my hair cut at the same place for 20 years. Even after I moved to Daly City, I continued to drive 30 miles to Palo Alto to have my hair cut. I used to get it colored and cut, but then decided to embrace the gray and just go for a very short haircut. I learned, the hard way, that you either need really short hair or really long hair when you live on the coast. The humidity and wind will wreak havoc on anything in between. I started getting a mini flat top haircut, but decided that a 60 mile round trip probably wasn't necessary. It's not environmentally responsible. Surely, there are some decent barbers in the Daly City area. My first instinct was to go to Great Clips. After researching them on Yelp, I decided against it. Perusing nearby barbers, I found The Cutlery and its numerous 5 star reviews. I decided to give it a go.I called them at 11am and asked for an appointment the next day. I booked a haircut with Jose with ease. He confirmed my appointment over SMS the next day. I now have his cell phone number, so I can book future appointments via text messages.Make sure to make an appointment. If you read the reviews, the people with complaints showed up as walk ins and the barbers were too busy to accommodate them. The Cutlery is busy because they offer great hair cuts at a fair price. When I showed up for my appointment, it looked busy, but Jose said that it was actually a slow day!The actual hair cut is one of the best I have had in my life. My previous stylist was very good and had at least 30 years of experience. Jose is recent graduate of cosmetology school, and you wouldn't know it. He was precise and took great care to ensure that I had the perfect cut. He spent 30 minutes working on my mini flat top, and it was perfect. I actually let my hair grow for 4 months, and it looked horrible from the back. It took a little more effort to cut my hair and get it lined up and faded just right. He didn't rush the haircut at all, but instead strove for perfection.I also have to mention the vibe in this place. It's an urban barber shop, and not a salon. They have pictures of Tupac and Dr. Dre on the wall and hip hop music on the stereo. I really like the vibe. There's nothing pretentious about it, yet the barbers are consummate professionals.After my experience at The Cutlery, I've decided to become a regular customer. Jose gave me a perfect haircut at a reasonable price. They're within walking distance of my condo. I've lived here for 15 years and had no idea this place even existed. I just learned that I can get a perfect haircut for a great price just a few blocks from home.








Jose at The Cutlery gave me the perfect haircut. Photo taken shortly after waking up, so there's a little ""bed head"", but it is still tight!


Jose at The Cutlery gave me the perfect haircut. Photo taken shortly after waking up, so there's a little ""bed head"", but it is still tight!"
64,"8/18/2017
    

This was the first time I got my haircut here and I am already a loyal customer. I called in to make an appointment and got scheduled the next day with Darlene. She was super friendly and very helpful in making sure she knew what kind of cut I wanted to get. She showed me different pictures of different cuts to give me visuals and suggestions on what she thought I might like. When she was done, I got the exact cut that I had wanting to get for months. She did what other barbers at other locations couldn't do. This looks to be the consistent high level of skill and service that all of the barbers at the Cutlery Barber Shop have to offer. I will definitely be going back. Thanks again Darlene!!"
65,"8/23/2017
    

Darlene is legit. She cut my dude's hair and it is so clean  I think he's found his lifetime barber. Thanks Darlene, you're a real one for making my dude look even more handsome! Lol."
66,"1/21/2017
    

Jay is an amazing guy.  He did a great job on my hair. He paid close attention to the hair cut. I can tell client satisfaction is very important to him. I never wrote a Yelp review but I felt compelled to review because of him. I would definitely go there again."
67,"3/31/2017
    

Walked in. Curtly refused service when asked or even an appointment for later in the day."
68,"2/3/2017
    

Oh Jerome ?Man he's really good. Nice and accommodating. His cuts are sharp and smooth and quick. Good man good service will go back again. Thanks man"
69,"9/4/2017
    

I've been getting my haircut for almost a year at a bougie-ass salon near my school in Oakland that basically severs my limbs every time I hand them my credit card, where they don't specialize in fades as most of its patrons have hair longer than the style I sport. Decided to bite the bullet and go to a barber shop to get cut, instead! Best. Decision. Ever. I called the shop and a nice-sounding girl booked me to come in that day. This girl's name is Darlene and BOY BUDDY THIS CHICK KNOWS HOW TO CLIP! I have what is arguably the thickest, coarsest, most texturized Asian hair that could probably use a weed whacker most days. No problem for Darlene! Not only did we instantly hit it off chatting about makeup and hair, she suggested a bald fade and did a nice drop on it that was smooth af and looked slick as all hell honestly. The people of San Francisco take it upon themselves to verbally acknowledge just how fly my fade is (on the bus, bart, in the store, walking on the street, etc.) And the notion of going to a barber shop was very intimidating but as a woman I don't hesitate to brag about my barber being a *very talented* woman as well! GURRRL (and guys) trust me when I say Darlene is the ONE. Because I've come back for her and will continue to. Time and time again."
70,"6/23/2016
    

Been a loyal customer to this barbershop since they've opened and describe this shop as a professional, clean, and well capitalized business. I personally go to Kevin also known as Shorty (last chair to the left, near the restroom) and is a barber that cares for his craft and an expert in cutting hair. I personally get a taper and the hair cut is unmatched. He pays attention to detail in all aspects of my haircut from my line up, beard, and proper measurements for my taper. And is willing to go back if something is not up to your liking. The rest of the barbers in the shop are cool, outgoing, and very professional with their clients. From kids haircuts, comb overs, fades, designs, and classic hairs cuts, I've seen it all in this shop!! TIP: Make your appointments in advance to prevent any issues and to ensure a fresh cut when coming to the shop! Don't walk in expecting a cut without an appointment. 5 Stars for The Cutlery !!!"
71,"8/6/2016
    

They charged me $45 for an haircut. Combover fade. They basically rip me off. Haircut was decent and took 1hr and 35mins to be exact."
72,"6/17/2015
    

Worst fucking customer service ever. These folks are more concerned with leaving work prior to closing than servicing customers. The other reviews on this place seemed positive, so I decided to give this place a shot after work. Left work early to come out here, and sat down as a walk-in customer at 615pm. There were 4 guys still working and they looked about finished with all of their clients. Then one guy asks me, 'do you have an appointment?' No. I don't, but I came with the understanding that they take walk in customers. He said they did, but they couldn't take me, because they close soon (in 45 mins). He asked what kind of a cut I wanted, I explained, and it's a simple cut usually taking only 15 mins to do.  Instead, all 4 of them were concerned with going home early than admitting a new customer. I told them my situation - going out of town tomorrow and really hoped to have this done today - but, nope. These guys give no shits. While walking out, one of the guys handed me a business card. Please. I am never coming back here, don't even kid yourselves."
73,"7/12/2016
    

First time gettin my cut at this shop, and I'm definitely going back. Staff is hella cool and it got a good environment; all good vibes. Got my cut from Mike and everything was perfect to the t. Highly recommended."
74,"6/22/2016
    

Came in because I was in the area and needed a cut asap and I left knowing this is my new barber shop. Jason is the man he took his time and did an awesome job I'll definitely be coming back."
